NUM;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;Gender
1;8;5;7;7;7;6;7;7;6;8;7;8;9;8;6;5;5;6;6;7;1
2;8;8;5;6;10;7;7;7;8;7;7;8;8;10;5;8;7;7;5;5;1
3;8;7;7;8;8;8;5;7;6;8;8;7;8;8;8;6;6;5;6;8;1
4;7;8;8;6;8;6;6;8;8;9;7;9;8;9;6;6;6;7;2;8;1
5;8;5;5;8;7;9;8;7;5;7;5;7;5;10;5;9;6;7;7;8;1
6;10;8;8;9;8;10;9;3;7;6;7;7;9;8;8;8;7;8;8;8;1
7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;8;9;1
8;5;7;7;4;7;5;8;8;7;7;7;7;8;8;4;6;5;6;4;5;1
9;10;10;10;10;10;9;10;8;8;10;8;8;8;8;10;10;10;10;8;8;1
10;8;10;10;10;8;10;10;10;10;10;10;10;10;10;10;10;10;10;1;10;1
11;2;8;1;1;5;1;1;1;1;3;7;1;8;8;1;1;1;1;1;8;1
12;10;10;10;10;10;10;8;7;8;9;7;8;8;10;8;6;10;10;10;10;1
13;8;8;8;7;8;9;7;7;8;9;9;7;8;9;7;6;5;8;5;7;1
14;10;1;10;10;10;5;5;10;10;10;10;10;8;10;10;10;5;10;10;10;1
15;6;8;8;7;7;7;8;7;8;8;7;8;8;7;7;7;7;7;8;7;1
16;2;2;1;3;1;5;6;3;6;5;2;6;6;6;3;1;1;1;7;3;1
17;8;10;7;8;9;8;8;8;7;9;8;9;6;8;10;10;8;10;7;8;1
18;7;9;5;5;6;5;6;6;5;2;4;5;7;5;7;4;4;6;4;6;1
19;10;10;9;10;9;9;8;9;9;10;10;9;9;7;9;10;9;10;9;10;1
20;5;10;8;8;10;10;8;8;8;10;10;10;10;10;6;6;10;10;10;10;1
21;5;8;4;4;5;5;5;4;6;4;4;6;7;5;5;5;5;4;3;4;1
22;8;8;7;7;7;7;7;8;8;6;7;7;8;8;7;7;6;6;4;6;1
23;9;10;9;10;10;9;10;10;10;8;10;10;8;8;10;8;10;10;10;10;1
24;8;9;5;7;7;8;7;8;7;8;8;8;9;7;8;7;7;8;7;7;1
25;9;7;8;8;8;9;9;9;8;10;10;9;10;9;7;8;7;8;8;9;1
26;7;8;7;8;8;8;9;8;8;8;7;9;8;8;8;8;7;7;8;7;1
27;9;9;7;8;8;8;8;8;8;7;7;8;9;8;8;7;7;7;7;7;1
28;7;9;7;8;7;7;6;7;7;6;6;7;7;8;7;6;1;8;7;8;1
29;9;9;10;10;9;10;10;10;10;10;10;10;10;10;8;10;10;10;10;10;1
30;6;7;5;4;8;6;6;4;6;6;6;6;8;8;5;5;5;6;5;4;1
31;9;8;9;10;8;10;9;8;9;10;9;10;9;8;9;9;10;9;8;9;1
32;10;10;8;8;8;8;10;8;8;7;10;6;6;10;10;8;8;10;8;10;1
33;10;10;8;8;8;8;8;8;10;8;8;8;8;8;8;8;8;10;9;10;1
34;9;9;7;7;9;8;8;8;8;9;10;10;10;9;8;8;8;10;10;9;1
35;10;10;10;10;10;9;10;10;10;10;10;10;8;5;8;10;10;10;10;10;1
36;7;8;7;7;6;7;7;8;6;8;7;9;9;9;7;6;6;7;6;8;1
37;8;8;7;7;8;8;7;8;7;8;8;8;9;8;8;8;8;8;8;8;1
38;8;7;5;9;8;8;7;8;7;8;9;10;8;10;7;8;9;8;7;7;1
39;10;10;9;10;10;10;10;10;9;10;10;10;10;10;10;9;9;10;10;10;1
40;8;8;7;8;9;9;8;8;7;9;8;7;9;8;8;8;7;8;7;8;1
41;8;6;7;7;7;8;7;6;6;8;7;7;10;8;7;7;7;7;6;7;1
42;7;8;7;9;10;8;10;8;8;9;8;8;9;9;10;8;8;7;7;8;1
43;9;8;8;9;9;8;8;8;8;9;8;8;9;8;8;7;7;8;7;7;1
44;7;5;7;8;8;7;8;8;8;8;8;8;7;7;7;6;7;7;5;7;1
45;7;9;8;6;6;8;8;8;7;8;6;8;9;8;8;7;3;6;5;3;1
46;10;10;10;10;10;10;8;7;8;10;10;10;8;10;8;8;9;10;10;10;1
47;6;7;7;7;5;5;8;8;7;5;5;8;8;7;6;4;4;6;6;6;1
48;8;8;5;9;8;9;8;8;8;9;9;6;8;9;10;8;7;8;7;10;1
49;7;7;7;8;7;8;8;8;8;9;8;9;8;10;7;9;8;10;7;10;1
50;7;8;7;6;7;6;6;6;7;7;5;7;7;7;7;6;6;6;5;6;1
51;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1
52;7;8;7;8;7;9;8;8;8;8;8;8;9;9;7;8;8;8;8;7;1
53;9;8;7;8;9;8;7;8;8;7;8;10;9;9;8;8;7;7;6;7;1
54;7;8;5;5;7;6;8;8;7;7;9;9;6;7;8;6;4;4;6;7;1
55;9;10;8;7;7;8;8;9;8;8;8;9;8;10;8;8;7;9;7;7;1
56;8;9;7;8;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;8;1
57;10;10;8;9;8;8;8;9;8;8;8;8;8;8;8;8;8;9;9;9;1
58;10;8;7;10;8;10;10;7;8;10;10;10;10;10;8;7;8;10;7;10;1
59;8;8;8;8;8;9;8;8;8;8;8;8;8;9;9;7;7;8;8;8;1
60;4;6;5;3;5;3;3;3;5;5;2;6;6;6;2;2;1;2;2;2;1
61;10;10;7;10;9;8;8;8;8;10;9;10;10;10;10;8;8;10;8;8;1
62;9;8;8;9;7;8;8;8;7;9;9;10;9;9;9;8;7;10;7;9;1
63;8;7;7;8;8;8;8;8;8;8;9;9;8;9;8;7;7;8;8;9;1
64;6;6;5;5;5;5;5;5;5;5;5;7;8;7;6;4;3;1;1;1;1
65;8;6;7;7;7;8;8;8;8;6;7;8;9;8;8;7;6;5;4;5;1
66;8;9;9;9;9;9;9;8;8;10;9;9;10;10;8;7;8;7;9;9;1
67;10;9;7;8;9;9;9;9;10;9;10;9;10;10;9;9;9;10;8;9;1
68;8;8;8;8;8;9;9;9;9;9;9;9;9;9;6;8;9;10;7;10;1
69;5;8;1;4;5;2;2;1;5;1;1;5;6;10;1;5;5;6;4;3;1
70;8;9;8;8;8;8;8;7;7;8;7;10;9;7;8;9;1;7;8;8;1
71;8;9;7;6;8;7;7;7;8;7;7;8;9;8;7;7;7;7;3;5;1
72;9;8;7;7;8;8;7;7;7;7;8;8;8;9;8;7;6;10;7;8;1
73;8;8;7;7;8;8;6;7;8;8;8;9;9;8;8;8;6;7;7;8;1
74;6;10;7;6;7;4;6;7;6;10;5;10;6;10;5;7;1;8;1;10;1
75;7;7;7;8;6;8;7;7;8;9;9;8;9;7;7;7;6;10;5;9;1
76;8;5;9;6;7;8;7;7;7;8;7;8;8;8;7;7;7;8;8;7;1
